유형,대회명,웹페이지,시작일,종료일
경진대회,Google Research - Identify Contrails to Reduce Global Warming,https://www.kaggle.com/competitions/google-research-identify-contrails-reduce-global-warming,2023-05-10,2023-08-09
경진대회,Kaggle - LLM Science Exam,https://www.kaggle.com/competitions/kaggle-llm-science-exam,2023-07-11,2023-08-10
경진대회,Google - American Sign Language Fingerspelling Recognition,https://www.kaggle.com/competitions/asl-fingerspelling,2023-05-10,2023-08-10
공모전,올거나이즈 LLM App 경진대회,https://www.allganize.ai/ko/event,2023-07-24,2023-08-11
경진대회,CommonLit - Evaluate Student Summaries,https://www.kaggle.com/competitions/commonlit-evaluate-student-summaries,2023-07-12,2023-08-11
공모전,5th 패스핵 : Makers meet AI,https://event-us.kr/pathfinder/event/67642,2023-08-11,2023-08-12
공모전,WebGPU Hackathon,https://lablab.ai/event/webgpu-hackathon,2023-08-11,2023-08-12
공모전,3D AI Models Hackathon,https://lablab.ai/event/3d-ai-models-hackathon,2023-07-31,2023-08-12
경진대회,Microsoft Learn AI Skills Challenge,https://www.microsoft.com/en-US/cloudskillschallenge/ai/registration/2023?ocid=aisc23_CSC_bbanner_cnl,2023-07-17,2023-08-14
공모전,2023 미래한국 아이디어 공모전,https://www.ipmarket.or.kr/idearo/service/itr/evt/eventMngtDetail.do?eventMngtId=EVENT_00000000000591,2023-06-15,2023-08-14
공모전,제4회 재정데이터 활용 논문 공모전,https://www.fis.kr/ko/notification/notice?articleSeq=3545,2023-05-29,2023-08-15
공모전,2023년 AI 허브 개방 데이터 아이디어 경진대회,http://www.aihub-ideacontest.co.kr/,2023-08-02,2023-08-16
공모전,2023-2024 CFA Institute Research Challenge - 기업투자분석 발표대회,https://www.cfasocietykorea.org/notice/2023-2024-cfa-institute-research-challenge-%ED%95%9C%EA%B5%AD-%EB%8C%80%ED%9A%8C-%EC%95%88%EB%82%B4/,2023-07-13,2023-08-16
공모전,우리 동네 기온·바람 정보 맞춤서비스 아이디어 공모전,https://form.office.naver.com/form/responseView.cmd?formkey=MTBhY2FlNTEtZjcxOC00ODVhLWE1ZWEtZGU5MWU3N2U4OTgy&sourceId=urlshare,2023-07-17,2023-08-16
공모전,삼성화재 2023 마케팅 해커톤 : Deep Dive into Creativity!,https://form.office.naver.com/form/responseViewMobile.cmd?formkey=NTQ3MWRiZDMtNjZiNS00ZmY2LWIxZmQtYzVkZGMzNTIxODIy,2023-08-02,2023-08-17
공모전,KSPO 경륜DATA 분석 경진대회,http://www.kcycle.or.kr/contents/customPlaza/noticeView.do?seqId=20147,2023-08-04,2023-08-17
경진대회,Bengali.AI Speech Recognition,https://www.kaggle.com/competitions/bengaliai-speech,2023-07-17,2023-08-17
공모전,청년 메타버스 콘텐츠 개발 경진대회,https://www.gbtp.or.kr/user/boardDetail.do?bbsId=BBSMSTR_000000000021&nttNo=7541,2023-08-04,2023-08-18
공모전,2023년 통일 데이터 활용 아이디어 공모전,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=634bdaa1aaf24a2f9b8eed2a59722002&pagetype=bbs&searchkey=A&searchtxt=&miv_pageNo=2&preDate=&endDate=,2023-07-24,2023-08-18
공모전,2023년 도전.작은연구,https://www.spectory.net/krilaidea/research/2023/1/info,2023-07-19,2023-08-18
공모전,2023 공공데이터 및 가명정보 활용 아이디어 공모전,https://www.kicox.or.kr/user/bbs/BD_insertBbsForm.do?q_bbsCode=1076,2023-07-24,2023-08-18
공모전,2023년 새만금 공공·빅데이터 활용 공모전,https://www.saemangeum.go.kr/sda/brd/view.do?nttSn=7559&key=2009075580577&pageIndex=1&sc=&sw=,2023-06-26,2023-08-18
공모전,2023 금융 앱 서비스 어플리케이션 - 아이디어 공모전,https://www.live-contest.com/idea/?idx=15383973&bmode=view,2023-06-09,2023-08-18
공모전,제 2회 미래 자동차산업 아이디어 공모전,http://www.kapkorea.org/gstcnt/retrieveGstNoticeView.do?selectedId=19526&comBbsMasterSeq=100701&searchCondition=ALL&searchKeyword=&pageIndex=1,2023-05-22,2023-08-18
